Run_ID,Scenario_Type,Attack_Style,Attack_PPS,Attack_Style2_Multiplier,FW_PPS_Capacity,Scrubber_Choice,Goodput_Mbps,Successful_Transactions,Avg_RTT_ms,P95_RTT_ms,FW_Packets_Processed,FW_Dropped_Mitigation,FW_Dropped_Queue,FW_Avg_Queue_Len,Scrubber1_ID,S1_Packets_Processed,S1_Dropped_Mitigation,S1_Dropped_Queue,S1_Avg_Queue_Len,Scrubber2_ID,S2_Packets_Processed,S2_Dropped_Mitigation,S2_Dropped_Queue,S2_Avg_Queue_Len,Server_Dropped_Queue
Style1-WideP_pps-5000_fw-20000,Distributed,ATTACK_STYLE_1,5000,N/A,20000,SW1,0.16,50,11.50,11.91,16704,16670,0,5.50,SW1,16704,16670,0,5.49,SW2,16702,16670,0,5.49,0
Style1-GoodQ_pps-5000_fw-20000,Distributed,ATTACK_STYLE_1,5000,N/A,20000,SW3,0.16,50,16.37,18.66,16704,16670,0,5.50,SW3,16704,16670,0,5.49,SW4,16702,16670,0,5.49,0
Style1-WideP_pps-5000_fw-40000,Distributed,ATTACK_STYLE_1,5000,N/A,40000,SW1,0.16,50,11.40,11.61,16704,16670,0,5.50,SW1,16704,16670,0,5.49,SW2,16702,16670,0,5.49,0
Style1-GoodQ_pps-5000_fw-40000,Distributed,ATTACK_STYLE_1,5000,N/A,40000,SW3,0.16,50,16.27,18.66,16704,16670,0,5.50,SW3,16704,16670,0,5.49,SW4,16702,16670,0,5.49,0
Style1-WideP_pps-10000_fw-20000,Distributed,ATTACK_STYLE_1,10000,N/A,20000,SW1,0.16,50,11.50,11.91,33374,33340,0,5.50,SW1,33374,33340,0,5.50,SW2,33372,33340,0,5.50,0
Style1-GoodQ_pps-10000_fw-20000,Distributed,ATTACK_STYLE_1,10000,N/A,20000,SW3,0.16,50,16.37,18.66,33374,33340,0,5.50,SW3,33374,33340,0,5.50,SW4,33372,33340,0,5.50,0
Style1-WideP_pps-10000_fw-40000,Distributed,ATTACK_STYLE_1,10000,N/A,40000,SW1,0.16,50,11.40,11.61,33374,33340,0,5.50,SW1,33374,33340,0,5.50,SW2,33372,33340,0,5.50,0
Style1-GoodQ_pps-10000_fw-40000,Distributed,ATTACK_STYLE_1,10000,N/A,40000,SW3,0.16,50,16.27,18.66,33374,33340,0,5.50,SW3,33374,33340,0,5.50,SW4,33372,33340,0,5.50,0
Style1-WideP_pps-20000_fw-20000,Distributed,ATTACK_STYLE_1,20000,N/A,20000,SW1,0.16,50,11.50,11.91,66704,66670,0,5.50,SW1,66704,66670,0,5.50,SW2,66702,66670,0,5.50,0
Style1-GoodQ_pps-20000_fw-20000,Distributed,ATTACK_STYLE_1,20000,N/A,20000,SW3,0.16,50,16.37,18.66,66704,66670,0,5.50,SW3,66704,66670,0,5.50,SW4,66702,66670,0,5.50,0
Style1-WideP_pps-20000_fw-40000,Distributed,ATTACK_STYLE_1,20000,N/A,40000,SW1,0.16,50,11.40,11.61,66704,66670,0,5.50,SW1,66704,66670,0,5.50,SW2,66702,66670,0,5.50,0
Style1-GoodQ_pps-20000_fw-40000,Distributed,ATTACK_STYLE_1,20000,N/A,40000,SW3,0.16,50,16.27,18.66,66704,66670,0,5.50,SW3,66704,66670,0,5.50,SW4,66702,66670,0,5.50,0
Style1-WideP_pps-30000_fw-20000,Distributed,ATTACK_STYLE_1,30000,N/A,20000,SW1,0.16,50,11.90,12.00,100034,100000,0,5.50,SW1,100034,100000,0,5.50,SW2,100032,100000,0,5.50,0
Style1-GoodQ_pps-30000_fw-20000,Distributed,ATTACK_STYLE_1,30000,N/A,20000,SW3,0.16,50,16.40,18.66,100034,100000,0,5.50,SW3,100034,100000,0,5.50,SW4,100032,100000,0,5.50,0
Style1-WideP_pps-30000_fw-40000,Distributed,ATTACK_STYLE_1,30000,N/A,40000,SW1,0.16,50,11.81,11.85,100034,100000,0,5.50,SW1,100034,100000,0,5.50,SW2,100032,100000,0,5.50,0
Style1-GoodQ_pps-30000_fw-40000,Distributed,ATTACK_STYLE_1,30000,N/A,40000,SW3,0.16,50,16.30,18.66,100034,100000,0,5.50,SW3,100034,100000,0,5.50,SW4,100032,100000,0,5.50,0
